name,age,height,weight,arm,hand_long,hand_width,stand_reach,ground_reach,run_reach,3/4_dash,limit_move,team,sp_en_score,ball_score,test_score
王泉泽,21,,,,,,,,,,,时代中国广州,·,·,·
陈盈骏,28,182,86,187,19.5,9,232,302,315,3.810,12.906,时代中国广州,122,104,226
王政博,25,189,84,188,20,9,241,311,321,3.905,13.436,时代中国广州,92,104,196
刘颜诚,19,197,97,200,21,9,250,311,325,3.555,12.312,时代中国广州,144,76,220
佟佳俊,18,190,88,189,19.5,9,241,299,313,3.449,12.694,时代中国广州,124,97,221
石颜博,21,202,97,201,21.5,9.5,254,328,339,3.270,10.983,北京控股,146,68,214
满江,22,199,93,203,21.5,9.5,257,328,335,3.311,11.684,北京控股,118,83,201
李龙元,20,197,95,200,21,9,252,314,323,3.448,11.794,北京控股,118,90,208
廖三宁,20,189,82,198,21,9,246,321,338,3.214,11.435,北京控股,122,70,192
王俊杰,22,196,86,199,19.5,9.5,254,329,341,3.137,11.697,北京控股,148,76,224
罗凯文,26,200,96,206,22,10,262,330,338,3.038,11.166,北京控股,142,53,195
马泳,23,196,86,198,21.5,9.5,256,322,338,3.078,11.477,北京控股,138,90,228
李玮颢,24,204,96,203,22,9,263,339,345,3.321,11.814,北京控股,136,64,200
刘畅,24,194,87,192,19.5,9.5,244,322,333,3.129,11.881,北京控股,120,76,196
侯逸凡,29,200,96,205,21.5,10,262,320,344,3.208,11.432,北京控股,130,90,220
张帆,25,195,87,193,19.5,8.5,249,320,327,3.383,11.836,北京控股,114,139,253
孙思尧,25,210,111,215,22,10,270,331,342,3.191,12.114,北京控股,90,96,186
王少杰,25,208,102,215,22.5,9,273,338,342,3.248,12.072,北京控股,,,
李根,33,192,98,199,21,8.5,250,311,316,,,北京控股,,,
俞长栋,30,206,110,211,22.5,10,267,325,335,3.434,11.904,北京控股,,,
邹雨宸,25,206,125,220,23.5,10.5,276,338,350,3.663,12.680,北京控股,,,
李佳恒,20,185,82,187,20,8.5,237,299,312,3.394,11.631,北京控股,150,83,233
孙桐林,29,206,117,216,23,9,272,328,334,4.096,14.723,北京控股,94,90,184
戴昊,19,195,76,199,21,9,250,324,345,3.081,11.327,上海久事,150,83,233
张知垚,19,207,87,210,21,9,266,339,345,3.533,11.863,上海久事,150,78,228
李添荣,21,189,86,196,21,10,244,328,343,3.129,11.721,上海久事,150,90,240
朱瀛,26,199,88,207,21.5,9,256,334,344,3.216,12.118,上海久事,150,90,240
罗汉琛,27,183,82,186,18.5,8.5,236,310,318,3.445,12.033,上海久事,118,104,222
鞠明欣,28,197,96,201,21.5,9,252,323,340,3.460,12.054,上海久事,150,64,214
黄旭,26,192,86,191,21,8.5,244,316,325,3.463,12.597,上海久事,92,90,182
何重达,27,201,95,207,22,9,262,334,343,3.363,11.957,上海久事,150,64,214
可兰白克·马坎,29,196,101,205,21.5,10,257,310,324,3.567,12.602,上海久事,112,83,195
袁堂文,21,183,78,184,18.5,9,236,300,318,3.705,12.712,上海久事,124,70,194
郭昊文,21,201,91,199,19,9,257,335,351,3.412,11.724,上海久事,150,83,233
颜鹏,25,199,92,197,21,9,255,321,333,3.534,11.976,上海久事,,,
刘铮,31,191,82,201,21.5,8.5,246,306,312,3.295,11.750,上海久事,,,
任骏威,31,200,96,203,21,9,264,321,329,3.711,12.867,上海久事,,,
宗赞,32,211,107,210,23,9,273,331,337,3.898,14.876,上海久事,,,
董瀚麟,30,206,111,215,21.5,9,270,333,346,3.351,12.134,上海久事,,,
张春军,34,195,98,201,22,9.5,251,320,321,3.809,14.114,上海久事,,,
罗旭东,33,184,82,184,21,9,235,301,311,,,上海久事,,,
王哲林,27,214,121,215,23,10.5,269,337,340,3.585,13.839,上海久事,,,
闫鹏飞,28,211,116,210,23,9,275,338,354,3.455,11.930,山西汾酒股份,116,116,232
邢志强,27,205,109,209,22,8.5,263,320,337,3.367,11.390,山西汾酒股份,112,70,182
张泽龙,26,200,99,203,21,8.5,259,324,336,3.412,11.530,山西汾酒股份,118,104,222
原帅,27,194,90,188,20,9,241,306,318,3.421,11.802,山西汾酒股份,90,97,187
张涵钧,29,181,83,184,19,8,234,295,305,3.375,12.440,山西汾酒股份,102,83,185
张宁,24,191,97,196,21,9,250,320,333,3.267,11.829,山西汾酒股份,150,90,240
韩霈瑜,20,205,109,213,22,9,270,329,344,3.337,12.068,山西汾酒股份,150,84,234
陈彭宇迪,20,184,75,184,19.5,8.5,237,306,327,3.172,11.406,山西汾酒股份,132,64,196
何家辰,21,198,92,195,20,8.5,251,321,328,3.291,11.644,山西汾酒股份,150,64,214
苏琨皓,20,195,85,191,21,8.5,249,316,331,3.351,11.187,山西汾酒股份,144,97,241
席益民,20,180,74,179,18,8,233,301,317,3.304,13.338,山西汾酒股份,118,112,230
张旭,22,199,96,205,21.5,9.5,261,328,343,3.375,11.615,山西汾酒股份,116,97,213
陈子安,24,197,97,202,22,10,255,323,343,3.379,11.660,山西汾酒股份,150,104,254
贾昊,22,197,90,200,21,9,257,322,338,3.334,11.864,山西汾酒股份,150,70,220
黎璋霖,24,205,112,203,21,9,263,320,325,3.529,11.919,山西汾酒股份,112,68,180
萧键勋,25,191,85,193,20,9,245,323,339,3.236,11.919,山西汾酒股份,128,97,225
杨凯,25,197,97,197,21,9,256,320,334,3.379,11.406,山西汾酒股份,118,76,194
刘嘉威,20,192,101,193,21,9,251,308,320,3.342,11.812,山西汾酒股份,92,102,194
车皓铭,20,197,86,200,21,9,256,316,331,3.368,11.248,山西汾酒股份,144,90,234
周湛东,31,181,87,186,19,8.5,237,298,315,3.431,11.565,山西汾酒股份,,,
吴轲,31,210,118,211,23,9.5,266,324,330,3.841,13.815,山西汾酒股份,,,
曹飞,30,196,85,196,19,8,252,313,323,3.553,12.331,山西汾酒股份,,,
葛昭宝,29,212,116,216,23,10,272,324,327,3.838,12.800,山西汾酒股份,,,
徐铭智,24,183,66,191,20,8,236,313,325,3.308,12.219,福建浔兴股份,120,70,190
方渭博,21,188,78,189,19.5,8.5,245,311,331,3.304,12.434,福建浔兴股份,130,139,269
黎伊扬,23,181,81,187,21,9.5,235,301,320,3.251,12.653,福建浔兴股份,128,70,198
潘威,21,183,80,187,20,9,235,307,337,3.035,10.798,福建浔兴股份,150,83,233
李江淮,29,190,82,190,19.5,9,243,312,321,3.161,10.835,福建浔兴股份,124,70,194
田桂森,27,187,87,193,22,9,245,318,333,3.739,11.260,福建浔兴股份,108,104,212
阿迪力·库尔班,23,188,84,192,20,8,243,307,323,3.377,11.551,福建浔兴股份,112,76,188
庄战,22,195,86,190,20,10,249,307,320,3.395,11.929,福建浔兴股份,126,90,216
陈林坚,28,197,91,201,20,9,251,319,340,3.443,11.489,福建浔兴股份,150,129,279
刘旭乘,22,202,111,204,22,9.5,261,321,334,3.370,11.511,福建浔兴股份,110,97,207
刘丰搏,28,198,98,199,21,9,252,327,341,3.213,11.680,福建浔兴股份,132,104,236
程峰,23,198,95,199,22,9,258,324,336,3.342,11.295,福建浔兴股份,132,73,205
卡米然·司地克江,26,194,87,200,20,8.5,243,308,331,3.357,11.149,福建浔兴股份,116,64,180
王翊雄,23,206,109,208,21,10,265,324,339,3.385,12.129,福建浔兴股份,150,50,200
区俊炫,22,206,101,213,22.5,9.5,265,343,358,3.248,12.325,福建浔兴股份,142,96,238
黄艺,22,206,103,202,20.5,9,261,323,335,3.646,11.897,福建浔兴股份,132,96,228
李英博,22,205,92,205,21,9,262,337,347,3.236,11.176,福建浔兴股份,150,57,207
张永鹏,31,210,110,215,23,10,273,335,356,3.612,12.329,福建浔兴股份,,,
孙喆,31,220,126,221,22.5,9.5,282,322,332,4.623,14.196,福建浔兴股份,,,
黄毅超,29,195,94,201,19.5,9.5,252,320,330,3.598,12.952,福建浔兴股份,,,
范宇轩,23,200,87,197,19.5,9,256,326,343,,,福建浔兴股份,·,·,·
孟子凯,25,206,93,205,20.5,8.5,265,337,341,3.451,11.789,天津先行者,150,76,226
高森堡,26,202,90,202,21,8.5,253,329,342,3.125,11.295,天津先行者,150,58,208
谷泽浴,24,181,79,176,18.5,8.5,229,296,325,3.155,11.433,天津先行者,142,90,232
苏煜,21,184,78,184,19,8.5,232,301,314,3.295,11.149,天津先行者,116,70,186
潘宁,26,213,103,206,22,9,272,325,341,3.505,12.171,天津先行者,90,96,186
李荣培,26,188,85,193,21,9,245,308,315,3.371,11.723,天津先行者,108,83,191
