name age height weight arm hand_long hand_wid stand_reach jump_reach run_reach dash move
许可 21 185 83 186 19 8 238 301 319 3.400 11.586
孙椿鹏 26 205 104 204 20.5 9.5 265 323 331 3.313 11.486
姜文 25 189 84 191 22 9 243 310 327 3.413 11.043
王济君 21 205 93 206 20 8.5 261 324 335 4.157 14.048
胡金秋 24 211 111 215 25 9.5 274 342 350 3.401 11.780
赵岩昊 24 195 79 195 20 8.5 251 320 342 3.346 13.062
许钟豪 31 212 135 219 22.5 9.5 274 318 331 3.807 13.893
冯欣 29 182 75 182 20.5 9 234 290 298 3.313 11.041
李金效 24 207 110 206 22 9.5 268 332 348 3.349 12.562
敖尔格乐 20 195 83 190 21 9 250 306 319 · ·
李慕豪 29 220 122 222 23 10 285 347 357 3.573 13.500
杨阿力 20 184 76 183 19 9 234 309 322 3.150 10.525
孙晨然 22 188 79 191 20 8.5 240 313 323 3.195 11.223
雷蒙 26 196 99 192 19.5 9 249 316 330 3.576 11.595
白谛 22 194 95 192 19 9 249 316 328 3.234 11.497
范依铭 20 204 89 211 22.5 9 262 331 342 3.332 11.470
张才仁 26 195 97 193 21 9 252 314 322 3.312 11.221
范子铭 23 211 118 214 21.5 9 271 330 332 3.714 12.806
塔瑞克·加尼尤 23 208 111 216 22.5 9.5 270 336 343 3.648 12.561
张卓 25 201 97 207 21.5 9 263 327 340 3.679 11.921
田宇翔 29 182 84 189 19.5 9.5 236 309 322 3.267 11.565
于喜淼 21 198 98 200 20 8.5 258 324 331 3.274 11.545
栾利程 23 197 86 198 21 9.5 252 322 338 3.326 12.313
陈赞宇 24 195 89 199 21 9 251 320 325 3.431 11.958
高升 24 · · · · · · · · · ·
翟晓川 28 205 111 204 21 9 261 323 337 3.546 11.969
周仪翔 30 191 104 200 21 9.5 250 315 319 3.372 12.062
王骁辉 31 197 100 196 21 8.5 250 322 339 3.368 11.532
方硕 31 189 88 192 20 8.5 244 315 324 3.456 12.302
刘晓宇 32 191 82 193 21 8 246 317 330 3.257 12.016
朱彦西 31 207 114 211 22 9 268 328 340 3.546 13.390
常林 33 206 122 208 23 9 264 334 348 5.316 14.867
曾凡博 18 · · · · · · · · · ·
容子峰 22 186 82 192 19.5 9.5 243 314 334 3.225 12.134
杨林祎 26 188 76 189 19.5 8.5 243 315 320 3.827 13.062
白昊天 22 194 92 197 20.5 10 251 321 337 3.498 12.469
孙浩钦 18 192 79 192 21 8.5 247 310 326 3.434 11.948
贺希宁 24 195 103 193 20 9.5 257 317 338 3.290 12.055
孟翔 24 197 93 193 20 9.5 250 310 330 3.567 12.366
卢鹏羽 20 198 79 199 21 8.5 256 326 345 3.333 11.878
武子涵 18 202 89 202 21 9 262 332 344 3.432 12.343
李想 23 206 95 209 21 9 265 328 338 3.317 11.675
顾全 29 201 98 201 20.5 9.5 259 319 325 3.415 11.098
韩驭丰 22 205 105 200 20 9 262 312 321 4.125 13.935
彭森傲 18 214 101 214 21 9.5 271 327 338 3.541 12.864
赵义明 21 220 140 216 21 9.5 288 340 348 3.765 13.130
于长春 30 202 96 201 20 9.5 255 313 329 3.735 12.442
买尔丹·吐尔逊 33 205 109 209 21.5 10 266 319 321 3.751 12.826
沈梓捷 24 210 114 222 23.5 10 278 345 358 3.528 11.373
卢艺文 26 205 105 204 20.5 10 263 326 335 · ·
何忠勉 30 195 96 200 21 9 254 316 330 · ·
崔晋铭 29 195 91 194 20 9 250 314 323 3.423 12.020
代怀博 27 208 98 207 21 9 269 333 338 3.510 12.367
丁皓然 25 206 96 203 21 9 266 331 343 3.377 12.807
付博文 22 181 77 180 19.5 8.5 230 310 327 2.966 10.861
耿铭旸 24 198 107 200 20 9 255 334 347 3.158 11.053
姜伟泽 21 181 72 179 19.5 8.5 230 313 331 3.045 12.094
孔德高 20 188 72 188 20 9 241 325 342 3.593 11.552
李盛东 25 199 103 201 20.5 10.5 256 317 332 3.345 12.478
刘天意 27 191 87 197 21 9 251 325 337 3.185 11.630
吕安宇 19 190 84 201 20 8.5 247 324 337 3.290 11.357
田晨翔 20 200 87 200 21 8.5 258 324 336 3.482 12.270
张正昕 26 207 112 204 23 10 262 331 336 3.412 12.838
刘禹涛 24 206 111 214 23 10 268 329 340 3.417 12.161
李安 31 209 118 216 24 9.5 272 341 346 3.769 13.861
钟诚 32 205 124 212 22.5 9.5 268 317 326 3.548 13.068
姜宇星 26 192 94 197 21.5 9.5 247 318 332 3.658 12.678
朱恩彤 22 · · · · · · · · · ·
景菡一 22 194 96 201 20.5 9 250 320 323 3.652 14.676
胡钧淋 22 179 80 182 19.5 8 228 306 322 3.323 11.663
张辉 25 190 89 191 20.5 8.5 242 313 324 3.837 12.842
李泓翰 26 197 90 201 20 9 254 318 322 3.431 12.419
胡林森 22 198 88 195 19.5 9 250 322 338 3.357 12.890
赵戌宏 25 215 111 213 22.5 9.5 278 344 347 3.502 13.649
张殿梁 24 201 104 205 21.5 9.5 258 311 324 3.640 12.731
李柯七 25 187 85 185 18.5 9 235 290 318 3.608 12.469
李林岳 23 183 83 184 20 9 236 300 314 3.440 12.328
陈辰 29 198 96 201 21.5 9.5 256 322 338 3.457 12.518
朱松玮 25 206 101 205 21.5 9 263 332 350 3.433 12.999
郭金林 30 197 100 205 21.5 9.5 254 324 335 3.503 12.531
韩硕 35 197 91 196 22 10 252 311 319 3.658 12.455
苏若禹 30 206 117 216 22.5 9.5 273 330 338 3.589 13.577
袁振梁 23 207 112 213 22 10 257 339 346 3.484 12.169
莫蒙尘 22 190 90 181 20 9 238 304 308 · ·
郭治瀚 22 196 90 192 19.5 9 249 312 313 4.231 14.042
左朕年 25 200 108 202 21.5 10 257 325 330 3.941 13.309
孟天艺 22 206 113 208 22 10 268 328 337 3.742 13.834
陈浩南 21 196 87 196 20 9 251 323 334 3.519 12.223
郑准 29 216 104 222 23 9.5 281 350 358 3.578 14.508
郭凯 28 206 109 211 22 11 260 320 333 3.372 12.449
贾明儒 24 185 81 184 19.5 9 235 306 324 3.472 12.736
齐浩彤 23 199 106 200 21 9 257 321 335 3.241 12.292
李京龙 26 195 94 199 20 9 250 314 325 3.683 12.216
田宇恒 25 193 84 191 20 8.5 245 310 327 3.389 11.142
李青翔 29 189 86 192 20 10 243 306 317 3.437 11.675
付磊 25 198 84 195 21 9 249 318 331 3.458 12.441
谢宸飞 21 204 96 202 21.5 10 264 322 335 3.656 12.559
赵晏满 22 204 101 196 21 10 262 333 354 3.294 11.679
缪光旸 24 209 112 212 22.5 9 266 340 347 3.572 13.089
姚天一 27 181 80 185 19 9 231 305 320 3.378 11.689
张展玮 23 195 95 199 21.5 9.5 250 328 344 3.318 12.508
孙昊锋 20 196 72 194 20.5 9 251 322 337 3.678 12.530
祝铭震 25 196 105 202 20.5 9.5 251 328 341 3.263 11.597
李炎哲 21 211 135 222 24 10.5 280 323 340 4.287 14.092
王泉泽 21 · · · · · · · · · ·
陈盈骏 28 182 86 187 19.5 9 232 302 315 3.810 12.906
王政博 25 189 84 188 20 9 241 311 321 3.905 13.436
刘颜诚 19 197 97 200 21 9 250 311 325 3.555 12.312
佟佳俊 18 190 88 189 19.5 9 241 299 313 3.449 12.694
石颜博 21 202 97 201 21.5 9.5 254 328 339 3.270 10.983
满江 22 199 93 203 21.5 9.5 257 328 335 3.311 11.684
李龙元 20 197 95 200 21 9 252 314 323 3.448 11.794
廖三宁 20 189 82 198 21 9 246 321 338 3.214 11.435
王俊杰 22 196 86 199 19.5 9.5 254 329 341 3.137 11.697
罗凯文 26 200 96 206 22 10 262 330 338 3.038 11.166
马泳 23 196 86 198 21.5 9.5 256 322 338 3.078 11.477
李玮颢 24 204 96 203 22 9 263 339 345 3.321 11.814
刘畅 24 194 87 192 19.5 9.5 244 322 333 3.129 11.881
侯逸凡 29 200 96 205 21.5 10 262 320 344 3.208 11.432
张帆 25 195 87 193 19.5 8.5 249 320 327 3.383 11.836
孙思尧 25 210 111 215 22 10 270 331 342 3.191 12.114
王少杰 25 208 102 215 22.5 9 273 338 342 3.248 12.072
李根 33 192 98 199 21 8.5 250 311 316 · ·
俞长栋 30 206 110 211 22.5 10 267 325 335 3.434 11.904
邹雨宸 25 206 125 220 23.5 10.5 276 338 350 3.663 12.680
李佳恒 20 185 82 187 20 8.5 237 299 312 3.394 11.631
孙桐林 29 206 117 216 23 9 272 328 334 4.096 14.723
戴昊 19 195 76 199 21 9 250 324 345 3.081 11.327
张知垚 19 207 87 210 21 9 266 339 345 3.533 11.863
李添荣 21 189 86 196 21 10 244 328 343 3.129 11.721
朱瀛 26 199 88 207 21.5 9 256 334 344 3.216 12.118
罗汉琛 27 183 82 186 18.5 8.5 236 310 318 3.445 12.033
鞠明欣 28 197 96 201 21.5 9 252 323 340 3.460 12.054
黄旭 26 192 86 191 21 8.5 244 316 325 3.463 12.597
何重达 27 201 95 207 22 9 262 334 343 3.363 11.957
可兰白克·马坎 29 196 101 205 21.5 10 257 310 324 3.567 12.602
袁堂文 21 183 78 184 18.5 9 236 300 318 3.705 12.712
郭昊文 21 201 91 199 19 9 257 335 351 3.412 11.724
颜鹏 25 199 92 197 21 9 255 321 333 3.534 11.976
刘铮 31 191 82 201 21.5 8.5 246 306 312 3.295 11.750
任骏威 31 200 96 203 21 9 264 321 329 3.711 12.867
宗赞 32 211 107 210 23 9 273 331 337 3.898 14.876
董瀚麟 30 206 111 215 21.5 9 270 333 346 3.351 12.134
张春军 34 195 98 201 22 9.5 251 320 321 3.809 14.114
罗旭东 33 184 82 184 21 9 235 301 311 · ·
王哲林 27 214 121 215 23 10.5 269 337 340 3.585 13.839
闫鹏飞 28 211 116 210 23 9 275 338 354 3.455 11.930
邢志强 27 205 109 209 22 8.5 263 320 337 3.367 11.390
张泽龙 26 200 99 203 21 8.5 259 324 336 3.412 11.530
原帅 27 194 90 188 20 9 241 306 318 3.421 11.802
张涵钧 29 181 83 184 19 8 234 295 305 3.375 12.440
张宁 24 191 97 196 21 9 250 320 333 3.267 11.829
韩霈瑜 20 205 109 213 22 9 270 329 344 3.337 12.068
陈彭宇迪 20 184 75 184 19.5 8.5 237 306 327 3.172 11.406
何家辰 21 198 92 195 20 8.5 251 321 328 3.291 11.644
苏琨皓 20 195 85 191 21 8.5 249 316 331 3.351 11.187
席益民 20 180 74 179 18 8 233 301 317 3.304 13.338
张旭 22 199 96 205 21.5 9.5 261 328 343 3.375 11.615
陈子安 24 197 97 202 22 10 255 323 343 3.379 11.660
贾昊 22 197 90 200 21 9 257 322 338 3.334 11.864
黎璋霖 24 205 112 203 21 9 263 320 325 3.529 11.919
萧键勋 25 191 85 193 20 9 245 323 339 3.236 11.919
杨凯 25 197 97 197 21 9 256 320 334 3.379 11.406
刘嘉威 20 192 101 193 21 9 251 308 320 3.342 11.812
车皓铭 20 197 86 200 21 9 256 316 331 3.368 11.248
周湛东 31 181 87 186 19 8.5 237 298 315 3.431 11.565
吴轲 31 210 118 211 23 9.5 266 324 330 3.841 13.815
曹飞 30 196 85 196 19 8 252 313 323 3.553 12.331
葛昭宝 29 212 116 216 23 10 272 324 327 3.838 12.800
徐铭智 24 183 66 191 20 8 236 313 325 3.308 12.219
方渭博 21 188 78 189 19.5 8.5 245 311 331 3.304 12.434
黎伊扬 23 181 81 187 21 9.5 235 301 320 3.251 12.653
潘威 21 183 80 187 20 9 235 307 337 3.035 10.798
李江淮 29 190 82 190 19.5 9 243 312 321 3.161 10.835
田桂森 27 187 87 193 22 9 245 318 333 3.739 11.260
阿迪力·库尔班 23 188 84 192 20 8 243 307 323 3.377 11.551
庄战 22 195 86 190 20 10 249 307 320 3.395 11.929
陈林坚 28 197 91 201 20 9 251 319 340 3.443 11.489
刘旭乘 22 202 111 204 22 9.5 261 321 334 3.370 11.511
刘丰搏 28 198 98 199 21 9 252 327 341 3.213 11.680
程峰 23 198 95 199 22 9 258 324 336 3.342 11.295
卡米然·司地克江 26 194 87 200 20 8.5 243 308 331 3.357 11.149
王翊雄 23 206 109 208 21 10 265 324 339 3.385 12.129
区俊炫 22 206 101 213 22.5 9.5 265 343 358 3.248 12.325
黄艺 22 206 103 202 20.5 9 261 323 335 3.646 11.897
李英博 22 205 92 205 21 9 262 337 347 3.236 11.176
张永鹏 31 210 110 215 23 10 273 335 356 3.612 12.329
孙喆 31 220 126 221 22.5 9.5 282 322 332 4.623 14.196
黄毅超 29 195 94 201 19.5 9.5 252 320 330 3.598 12.952
范宇轩 23 200 87 197 19.5 9 256 326 343 · ·
孟子凯 25 206 93 205 20.5 8.5 265 337 341 3.451 11.789
高森堡 26 202 90 202 21 8.5 253 329 342 3.125 11.295
谷泽浴 24 181 79 176 18.5 8.5 229 296 325 3.155 11.433
苏煜 21 184 78 184 19 8.5 232 301 314 3.295 11.149
潘宁 26 213 103 206 22 9 272 325 341 3.505 12.171
李荣培 26 188 85 193 21 9 245 308 315 3.371 11.723
金鑫 26 196 104 206 22 9.5 259 332 345 3.276 11.780
张云梦 22 196 90 194 21 8.5 251 320 338 3.055 12.027
郑昊燃 22 198 85 200 21.5 9.5 257 328 340 3.068 11.757
田雨 25 208 91 202 21.5 9 258 325 342 3.349 11.744
韩博林 26 198 88 196 21.5 9.5 252 317 328 3.095 10.792
何思雨 24 197 97 197 20.5 8.5 256 325 334 3.148 11.178
时德帅 26 205 100 203 22 9 257 324 337 3.270 12.299
刘炜 21 191 84 190 20.5 9 241 310 318 3.277 11.359
谢立石 24 192 81 190 21 9 242 308 323 2.963 11.144
张晓阳 26 209 103 205 23 10 261 321 333 3.321 12.072
田野 31 185 77 186 20 8.5 236 302 321 3.446 12.509
刘伟 32 209 103 210 21 9.5 271 324 332 · ·
张兆旭 34 220 125 220 23 10 283 343 353 3.606 12.769
李佳益 24 207 120 213 22 9 265 328 339 3.455 13.568
林庭谦 22 190 80 192 20.5 9 246 309 319 3.429 11.548
孙鸣阳 27 210 126 214 22 9.5 273 324 332 4.050 13.225
王子瑞 28 188 80 190 18.5 8 240 312 320 3.530 11.108
王旭 26 179 81 179 19.5 8 229 291 310 3.507 11.978
赵天熠 26 205 110 200 20 10 262 328 331 3.605 12.296
衡艺丰 26 195 96 196 21.5 10.5 249 319 327 3.376 11.951
白杰 23 200 83 206 20.5 9 262 330 340 3.416 11.753
王子麒 24 195 82 198 20 8.5 252 318 327 3.345 11.709
杨皓喆 25 181 82 183 19 9 229 313 322 3.147 10.981
李泓澎 23 195 94 192 20 10 249 317 326 3.424 12.851
王昊宇 21 188 77 186 19.5 9 235 305 322 3.330 11.701
王梓旭 23 198 95 196 21 9.5 260 330 342 3.327 11.213
皇甫承轩 20 182 79 176 19.5 9 233 297 309 3.311 11.433
王睿 22 202 95 204 20.5 9 260 317 328 3.602 12.716
赵柏清 23 203 108 206 22 9.5 262 325 343 3.541 12.724
刘东 26 209 107 208 21.5 10 269 331 348 3.454 12.099
邬挺嘉 24 180 83 180 20 9 232 294 305 3.511 12.010
关宁 22 189 84 195 21 9 247 321 332 3.239 11.756
孙熔孝 26 198 103 199 20.5 9 252 311 321 3.756 12.544
于刚 29 207 116 209 22 10 267 · · · ·
万圣伟 27 200 129 207 21 10 262 317 326 3.815 11.863
西热力江·木合塔尔 30 190 92 193 20 9.5 247 304 315 3.250 11.129
焦恩格尔·胡依山 26 209 110 208 21 10 · · · · ·
史鸿飞 28 178 73 172 18 8.5 229 292 292 3.688 12.807
吴冠希 27 211 111 218 22 10 275 338 344 3.411 13.153
赵率舟 26 197 97 198 21 10 251 315 327 3.611 12.409
张稀然 24 188 82 181 20 9 234 306 321 3.198 11.397
孙鑫 21 192 81 191 20.5 8.5 245 320 332 3.284 11.997
刘宇轩 22 207 91 206 21.5 9 266 317 337 3.416 11.974
黄荣奇 22 188 80 189 20 9 245 308 323 3.554 12.718
赵旭昕 22 209 105 213 22 10.5 268 331 336 3.400 13.073
蒋浩然 21 205 107 210 21 9 263 325 335 3.340 12.105
陶彦儒 22 189 87 194 19.5 9 244 313 321 3.251 11.510
吴羽佳 22 200 82 206 21 9 259 325 333 3.429 11.881
许梦君 23 196 91 197 20 9 254 323 331 3.415 12.417
郑祺龙 25 204 91 207 21.5 9 265 332 346 3.298 10.846
刘晋廷 21 202 90 214 22.5 9 265 333 354 3.339 11.418
崔晓龙 22 194 85 189 20 9 241 312 320 3.422 12.120
李禄曈 19 213 88 221 22 9.5 278 341 356 3.280 12.238
史仪 23 183 82 179 19 8.5 227 290 303 3.136 12.007
闫实 20 195 83 196 20.5 9 245 322 332 3.053 11.467
黄浩然 20 193 82 199 21 9 250 335 345 2.998 10.898
佟鑫 20 202 123 204 21.5 10 261 322 327 3.313 13.204
郭羽舟 21 203 94 201 20.5 9 260 321 330 · ·
马泽来 21 193 81 189 20 9 246 313 325 3.246 11.378
冶征文 22 185 75 185 20 9 235 302 311 3.372 11.608
赵皓然 19 199 86 202 20.5 9 257 327 331 3.315 11.870
王向彬 22 196 92 201 20 9 255 324 344 3.476 11.845
王炫 24 184 81 195 20.5 9.5 243 304 321 3.372 12.027
赵俊峰 21 193 83 192 20 8 245 307 324 3.728 11.983
李柏润 21 186 90 188 19.5 9 241 303 313 3.540 12.157
陈柏石 22 200 89 194 19.5 9 252 324 343 3.273 11.274
刘育辰 26 199 76 201 21 10 255 325 332 3.405 11.761
韩德龙 26 196 91 196 19.5 8 247 310 320 3.483 11.691
许裕茁 22 199 91 195 20.5 9.5 252 320 332 3.238 11.375
马振翔 21 200 105 204 20 9 260 327 331 3.468 11.688
宁鸿宇 26 210 87 208 21.5 8.5 265 340 361 3.402 12.149
王小乙 22 203 82 196 20.5 8.5 256 316 337 3.354 11.346
薛驰 21 205 91 204 21.5 9 261 324 340 3.364 12.230
肖天 22 202 98 202 21 9.5 257 329 338 3.250 12.005
阿尔达格尔·阿依丁 21 205 88 205 21.5 9.5 264 326 341 3.261 11.787
李文豪 20 208 86 208 21.5 9 263 336 349 3.261 11.626
主昊 22 205 103 205 20.5 9 265 323 329 3.532 11.923
张彪 31 201 101 204 21 9 261 321 340 3.551 12.206
曲虹霖 19 207 103 215 22 9 269 334 336 3.363 11.632
党瑞博 22 199 98 196 21 9 251 311 323 3.168 10.814
